Sample_ID,Treatment,Variety,Sample,R460,R520,R580,R660,R710,R730,R760,R780,R810,R850,R900,BF(F440),GF(F520),RF(F690),FrF(f740)
D1_1235_3,D1,1235,3,0.034807,0.1313893752209043,0.1256953417205032,0.1160236430058499,0.081857075984226,0.1434859618491864,0.2416846777477814,0.2702485245767731,0.2773340775222346,0.2878095083784223,0.284115231625753,0.0643163096057565,0.0778835157601673,0.0757083849866008,0.1821300310606954
D1_1228_1,D1,1228,1,0.037634,0.1498900316556275,0.1523174137508592,0.1505582580044316,0.1119949273784598,0.1714350364855071,0.2213959232532379,0.2370427677801799,0.2499032456692015,0.2676396550800707,0.264370051899637,0.0838847576588805,0.1124813667349714,0.1121963974855518,0.2942476542691749
D1_1228_2,D1,1228,2,0.04181,0.158478188198296,0.1571080363917248,0.1493273151811796,0.1136368979844086,0.1890779261397811,0.2710624042926458,0.294914353917374,0.2985075423506041,0.3003967599553766,0.3043929006013153,0.0834025934308267,0.1173529541934942,0.1155042952163346,0.2784127912466836
D1_1228_3,D1,1228,3,0.039722,0.2378142421138481,0.154712725071292,0.14994278659280558,0.1487296478646279,0.1802564813126441,0.4115239968334213,0.4430666063759645,0.4412612375681906,0.4421240959494758,0.4385502319829593,0.0860857282999673,0.1315202889718759,0.1128701222129458,0.3327542065628919
D1_1219_1,D1,1219,1,0.053641999999999995,0.155276058864068,0.2298964891348355,0.2258144976926472,0.1626886850268237,0.261288747132699,0.3816931955438104,0.4014868983369504,0.4199748099081028,0.4641862465031229,0.4184037731752584,0.0764019420199724,0.0814145434991684,0.0862094770870511,0.214187402985573
D1_1219_2,D1,1219,2,0.056816,0.178302207938227,0.2341047874823362,0.203400007122055,0.1115758479751458,0.234966880975738,0.4263303400377705,0.4648151271773228,0.491293408243166,0.5090340026623394,0.37772572850936104,0.0679704558435425,0.1013938404749043,0.0716868833966241,0.2732461732019995
D1_1219_3,D1,1219,3,0.050468,0.1567865674141849,0.1604770648063509,0.1441953678984789,0.0892894189065948,0.1805475871873801,0.3073048650274634,0.31120328724919,0.3378009809319933,0.3755546676414164,0.3370476838434636,0.0663430763772829,0.0938602681721947,0.0762610514538666,0.241525006137431
D1_1218_1,D1,1218,1,0.040586,0.1673640574066626,0.1720574543484935,0.1623426194094403,0.1001526166673768,0.1828473058566949,0.3130298711822729,0.3240270917527316,0.3663315770399487,0.3830255815265516,0.3602027524874651,0.071512554580858,0.0969406103770227,0.0840018499641523,0.2686749728306111
D1_1218_2,D1,1218,2,0.04139,0.1666157996129975,0.1832767154933108,0.1655617421073383,0.1057497481828678,0.1926462387995419,0.3203414915890549,0.3287877025036688,0.3544901660565154,0.3582163624313317,0.3473342791505386,0.0725866505298332,0.1022446350582839,0.0865972549092077,0.2829789518159632
D1_1218_3,D1,1218,3,0.044341,0.2277472956840104,0.2481692518249771,0.2217046513165513,0.1257674107358486,0.2521178699937268,0.3166856813856639,0.3264073971282002,0.36041087154823204,0.3706209719789416,0.3537685158190018,0.0737544662790016,0.1109621716705765,0.081935158063895,0.3215406192054634
D1_1214_1,D1,1214,1,0.045661,0.1014608165281447,0.0545353430827259,0.0537631345839032,0.0398696713563138,0.0725601762936511,0.1210242451736479,0.1322005255605691,0.1406861065595537,0.1535990902148515,0.1619286098692618,0.0756086899784362,0.09600356599885734,0.0457819218627121,0.22581609302751196
D1_1214_2,D1,1214,2,0.048033,0.1835897618852564,0.1699482725017548,0.1601011457547537,0.1184819768136278,0.1989320648836825,0.324124619894352,0.3562936003630249,0.3768310209438635,0.3873008433371051,0.3775933604492669,0.077823185571966,0.103769171074479,0.1002966015693688,0.2281045165141309
D1_1214_3,D1,1214,3,0.043289,0.1618640587014198,0.1501672853662828,0.1442460341874499,0.1104267522509588,0.1920200513378758,0.2683696451686326,0.3007713242792301,0.3224537541673091,0.3192634734687951,0.3132704510204034,0.0733941943849064,0.0882379609232357,0.0914149353151313,0.223527669540893
D1_1210_1,D1,1210,1,0.034559,0.1377950496242954,0.1191868234630605,0.1234358950773429,0.1018786083410715,0.1596576671444311,0.2020053297680881,0.2250535283707399,0.2310649287019363,0.2402369376480188,0.2337544893900153,0.0719419267869514,0.0830266385642761,0.1011042875255884,0.1695019808801998
D1_1210_2,D1,1210,2,0.0402205,0.2287923094606586,0.14687837096409206,0.14362055232441515,0.1748547463894163,0.2683635331399567,0.3770575544633959,0.3924185053785646,0.410331357006261,0.4202471244150617,0.4005377786694599,0.0892940633490588,0.1498307705219914,0.1177824739868205,0.3217038341127908
D1_1210_3,D1,1210,3,0.045882,0.1846555254998573,0.1745699184651236,0.1638052095714874,0.1097890368813666,0.1994707275979609,0.2996107156737577,0.3376416244059894,0.3338855554564013,0.3327065317317839,0.3311145987384179,0.0798984629791143,0.1067128425946956,0.0977191260952658,0.2589592895679833
